,Message
4665,"Dear Guest, Thanks for choosing World 's Best Donuts. Order ID 3736. Delivery by 2012-08-12 10:39. Enjoy 7% discount on your next purchase. Code F9SGZO. T&C."
4666,"[Penny's] Hi Liam, your reservation is confirmed for 4 people on 2012-08-10 at 21:23. We can hold your table for a maximum of 2 mins."
4667,"[Doumar 's Cones and BBQ] Hi Braden, your reservation is confirmed for 4 people on 2010-07-25 at 7:28. We can hold your table for a maximum of 24 mins."
4668,True Value : Service of your car KA56A6688 is due in 88 days on 2010-12-31. Please contact us at 9335722537 to book a service.
4669,"Hi Customer, Booking ID: WOQWNIL. Seats: GOLD-C9, 1 seat(s) for Miss Peregrine's Home for Peculiar Children on 2013-12-30 3:30 at PVR: Vaishnavi Sapphire Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4670,"Thank you for choosing Meru for 2012-05-03 at 2:53. Cab:KA56T6662 , Chauffer: Trey, Cell: 9875446251 will reach you. T&C apply, visit www.Meru.com"
4671,"* KSRTC m-Ticket *  from: CHANNARAYAPATNA to: DAVANEGERE PsngrName: Fernando TripCode: 2013CHADAV PNR No.: J82541128 JnyDate: 2015-05-29 DepTime: 20:13  SeatNo.: 36, 11, 51, 57, 28, 29  Class: AC chair  BoardingPt: CHANNARAYAPATNA MG Road Txn Password: 4337 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4672,"PNR:5564352314,TRAIN:55158,DOJ:2013-03-29,AC3,AME-BHV,Dep:22:26, Cayden,B6 19 , Fare:8471,SC:10.0+PG+INS"
4673,"Welcome to Wells College R.No. 275, 365 Ch.In 2014-07-27 7:30 Ch.out 2014-08-03 12:00."
4674,"Hi Customer, Booking ID: W3VQIRX. Seats: SILVER-C14,C15,C16,C17,C18,C19,C20,C21, 8 seat(s) for Zootopia on 2010-04-23 8:58 at PVR: Market City, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4675,Appointment with Dr Tanner in CHANNARAYAPATNA on 2014-12-15 at 7:47 is confirmed. For queries call 1800 3854 1483. Your appt. might get delayed in case the doctor is attending an emergency.
4676,Maruti Auto Agency : Service of your car KA41A1212 is due in 44 days on 2011-03-20. Please contact us at 9874677663 to book a service.
4677,Bill dated 2011-03-04 for Rs 692 has been generated for your Aircel fixedline/broadband relationship no. 55732846. The same will reach you by 2011-03-07. Due date: 2011-03-19.
4678,"Repair ref.no for your car is JC88355428 opened on 2011-12-01 17:53hrs,ETD of your car is 2011-12-02 13:55hrs and est.repair amt is Rs.566 Rgds, True Value"
4679,"Thank you for choosing KSRTC for 2013-03-04 at 17:51. Cab:KA17S6122 , Chauffer: Marcus, Cell: 9848511625 will reach you. T&C apply, visit www.KSRTC.com"
4680,Welcome to Frobisher Bay R.No. 186 Ch.In 2014-04-25 8:58 Ch.out 2014-04-26 12:00.
4681,"Hi Customer, Booking ID: WPRUP9G. Seats: GOLD-D6,D7,D8, 3 seat(s) for Central Intelligence on 2014-03-03 6:37 at PVR: MSR Elements Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4682,"Dear Guest, Thanks for choosing Cole 's Pacific Electric Buffet. Order ID 2363. Delivery by 2011-12-17 3:53. Enjoy 9% discount on your next purchase. Code NDGLC1. T&C."
4683,"PNR:6778514638,TRAIN:2638,DOJ:2014-10-14,AC3,AQG-BYR,Dep:1:55, Matthew,B7 17 , Fare:2562,SC:10.0+PG+INS"
4684,"Repair ref.no for your car is JC58733716 opened on 2010-05-27 21:12hrs,ETD of your car is 2010-05-28 14:25hrs and est.repair amt is Rs.348 Rgds, True Value"
4685,"Hi Customer, Booking ID: WRW4LA3. Seats: STANDARD-A9,A10,A11, 3 seat(s) for Arrival on 2014-05-03 1:37 at PVR: Arena Mahadevapura, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4686,Bill dated 2015-03-13 for Rs 968 has been generated for your Airtel fixedline/broadband relationship no. 74377832. The same will reach you by 2015-03-16. Due date: 2015-03-28.
4687,Bimal Auto Agency : Service of your car KA67O7367 is due in 67 days on 2009-08-28. Please contact us at 9614342861 to book a service.
4688,"Welcome to OIL SHALE MINING FACTORY R.No. 481, 175, 548, 231 Ch.In 2012-01-20 8:27 Ch.out 2012-01-29 12:00."
4689,"Thank you for choosing radiocabs for 2011-03-12 at 6:48. Cab:KA67T2344 , Chauffer: Ty, Cell: 9672248772 will reach you. T&C apply, visit www.radiocabs.com"
4690,"[A&W Canada] Hi Eli, your reservation is confirmed for 11 people on 2014-02-06 at 13:26. We can hold your table for a maximum of 1 mins."
4691,"Dear Guest, Thanks for choosing Cafe Gratitude. Order ID 8575. Delivery by 2011-11-25 21:41. Enjoy 20% discount on your next purchase. Code GOWL07. T&C."
4692,"Dear Guest, Thanks for choosing Spudnut Shops. Order ID 1428. Delivery by 2015-04-10 11:29. Enjoy 28% discount on your next purchase. Code I6TV4R. T&C."
4693,Bill dated 2012-01-30 for Rs 707 has been generated for your Idea fixedline/broadband relationship no. 57532585. The same will reach you by 2012-02-02. Due date: 2012-02-14.
4694,"Thank you for choosing Meru for 2013-10-05 at 2:29. Cab:KA37P8817 , Chauffer: Keegan, Cell: 9813822116 will reach you. T&C apply, visit www.Meru.com"
4695,"Thank you for choosing ucabs for 2011-08-03 at 10:38. Cab:KA75N2843 , Chauffer: Julio, Cell: 9452568726 will reach you. T&C apply, visit www.ucabs.com"
4696,Aryan Auto Agency : Service of your car KA13S3165 is due in 26 days on 2015-04-22. Please contact us at 9288734548 to book a service.
4697,"Welcome to Vijaya Bank R.No. 112, 268, 333 Ch.In 2013-05-02 16:34 Ch.out 2013-05-13 12:00."
4698,"[Zarraffas Coffee] Hi Sean, your reservation is confirmed for 16 people on 2015-04-24 at 3:35. We can hold your table for a maximum of 16 mins."
4699,Aryan Auto Agency : Service of your car KA27X2731 is due in 22 days on 2011-10-10. Please contact us at 9536865338 to book a service.
4700,"Dear Guest, Thanks for choosing Ten Ren Tea. Order ID 1214. Delivery by 2013-09-27 1:53. Enjoy 11% discount on your next purchase. Code F7OJAL. T&C."
4701,The PNR for your JET Airways Flt 6W815 for TRV-DMU on 2015-07-07 at 7:33 hrs  is FAL8SR. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4702,"Repair ref.no for your car is JC31163733 opened on 2012-01-27 5:18hrs,ETD of your car is 2012-01-28 4:21hrs and est.repair amt is Rs.2566 Rgds, Maruti Auto Agency"
4703,Bill dated 2011-03-11 for Rs 506 has been generated for your Docomo fixedline/broadband relationship no. 42616266. The same will reach you by 2011-03-14. Due date: 2011-03-26.
4704,The PNR for your INDIGO Flt 8B645 for AKD-PNY on 2014-08-23 at 15:55 hrs  is EFCOHW. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4705,"PNR:2568558638,TRAIN:3276,DOJ:2013-10-31,AC3,ASD-BDN,Dep:2:22, Andre,B6 31 , Fare:8527,SC:10.0+PG+INS"
4706,Appointment with Dr Aaron in Kozhikode on 2009-09-05 at 3:28 is confirmed. For queries call 1800 2475 2464. Your appt. might get delayed in case the doctor is attending an emergency.
4707,Bill dated 2010-08-03 for Rs 923 has been generated for your Airtel fixedline/broadband relationship no. 25513211. The same will reach you by 2010-08-06. Due date: 2010-08-18.
4708,"[Barbecue Grill] Hi Marcus, your reservation is confirmed for 29 people on 2014-02-12 at 7:57. We can hold your table for a maximum of 20 mins."
4709,Bill dated 2010-08-05 for Rs 750 has been generated for your Airtel fixedline/broadband relationship no. 78165467. The same will reach you by 2010-08-08. Due date: 2010-08-20.
4710,"* KSRTC m-Ticket *  from: SHIVAMOGGA to: Shirdi PsngrName: Jordan TripCode: 916SHIShi PNR No.: J11918539 JnyDate: 2013-10-28 DepTime: 9:16  SeatNo.: 59, 5, 39  Class: AC Sleeper  BoardingPt: SHIVAMOGGA Residency Road Txn Password: 8533 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4711,Lakshmi Auto Agency : Service of your car KA15B6582 is due in 38 days on 2010-11-24. Please contact us at 9485534577 to book a service.
4712,"[El Taco Tote] Hi Oliver, your reservation is confirmed for 17 people on 2009-12-06 at 14:10. We can hold your table for a maximum of 35 mins."
4713,"Dear Guest, Thanks for choosing Zoka Coffee Roaster and Tea Company. Order ID 4426. Delivery by 2011-08-01 0:55. Enjoy 7% discount on your next purchase. Code TG9HMV. T&C."
4714,"Dear Guest, Thanks for choosing Zarraffas. Order ID 4273. Delivery by 2012-01-14 3:57. Enjoy 6% discount on your next purchase. Code HZL0GP. T&C."
4715,"DEAR Juan, THANK YOU FOR YOUR BOOKING (ORDER ID: 22515), YOUR ORDER HAS BEEN ASSIGNED TO Conner(9287173255) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-07-30 at 6:55. FOR ASSISTANCE WHATSAPP US ON 8252258748."
4716,"Dear Guest, Thanks for choosing 29 Diner. Order ID 6426. Delivery by 2011-11-02 2:45. Enjoy 29% discount on your next purchase. Code WY1TG7. T&C."
4717,Lakshmi Auto Agency : Service of your car KA54G8756 is due in 71 days on 2015-05-08. Please contact us at 9347332127 to book a service.
4718,"[Flunch] Hi Henry, your reservation is confirmed for 29 people on 2012-08-16 at 22:27. We can hold your table for a maximum of 30 mins."
4719,"* KSRTC m-Ticket *  from: Vijayawada to: Mysuru PsngrName: Hunter TripCode: 1850VijMys PNR No.: J56448003 JnyDate: 2013-10-29 DepTime: 18:50  SeatNo.: 36, 37, 40, 11, 16, 50, 19, 54, 22, 30  Class: AC chair  BoardingPt: Vijayawada Rly Station Txn Password: 1152 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4720,"* KSRTC m-Ticket *  from: Kozhikode to: KARAIKUDI PsngrName: Thomas TripCode: 810KozKAR PNR No.: J93416376 JnyDate: 2013-03-27 DepTime: 8:10  SeatNo.: 32, 40, 13, 46, 8, 20, 21, 57, 52, 29  Class: Non-AC chair  BoardingPt: Kozhikode Residency Road Txn Password: 8686 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4721,"Hi Customer, Booking ID: WLDA36Y. Seats: GOLD-J7,J8,J9,J10,J11,J12,J13, 7 seat(s) for The Girl on the Train on 2009-12-30 18:14 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4722,"[Paris Baguette] Hi Trevor, your reservation is confirmed for 28 people on 2010-06-05 at 12:23. We can hold your table for a maximum of 3 mins."
4723,The PNR for your JET Airways Flt 2V461 for GOP-RPR on 2012-01-24 at 12:16 hrs  is R5K5UO. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4724,Bimal Auto Agency : Service of your car KA63Q3868 is due in 51 days on 2012-12-12. Please contact us at 9127553476 to book a service.
4725,"Dear Guest, Thanks for choosing Shane 's Rib Shack. Order ID 1652. Delivery by 2009-09-03 1:58. Enjoy 13% discount on your next purchase. Code WPA41X. T&C."
4726,"Thank you for choosing Ola for 2010-12-11 at 9:19. Cab:KA31F8278 , Chauffer: Dakota, Cell: 9663353346 will reach you. T&C apply, visit www.Ola.com"
4727,* KSRTC m-Ticket *  from: PONDICHERRY to: KIAL PsngrName: Jonathan TripCode: 919PONKIA PNR No.: J31942139 JnyDate: 2011-03-26 DepTime: 9:19  SeatNo.: 32  Class: Non-AC chair  BoardingPt: PONDICHERRY MG Road Txn Password: 3614 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
4728,"Thank you for choosing radiocabs for 2013-08-08 at 17:31. Cab:KA17Z5554 , Chauffer: Austin, Cell: 9287125523 will reach you. T&C apply, visit www.radiocabs.com"
4729,Appointment with Dr Jeffrey in CHITRADURGA on 2015-03-13 at 15:33 is confirmed. For queries call 1800 2114 8786. Your appt. might get delayed in case the doctor is attending an emergency.
4730,"Dear Guest, Thanks for choosing Blossoming Lotus. Order ID 6248. Delivery by 2013-04-15 0:48. Enjoy 20% discount on your next purchase. Code SJIVPJ. T&C."
4731,"Hi Customer, Booking ID: WZJNR57. Seats: GOLD-J10,J11, 2 seat(s) for The Accountant on 2014-01-20 10:27 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
4732,"Welcome to Prairie Park Nature Center R.No. 555, 172, 270, 599 Ch.In 2010-06-06 14:14 Ch.out 2010-07-05 12:00."
4733,Bill dated 2013-09-07 for Rs 1015 has been generated for your Idea fixedline/broadband relationship no. 42124224. The same will reach you by 2013-09-10. Due date: 2013-09-22.
4734,"* KSRTC m-Ticket *  from: TANJAVOOR to: Shivamogga PsngrName: Richard TripCode: 531TANShi PNR No.: J35935062 JnyDate: 2012-08-25 DepTime: 5:31  SeatNo.: 57, 10, 52, 17  Class: AC chair  BoardingPt: TANJAVOOR Bus Stand Road Txn Password: 8312 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4735,"Welcome to A&T R.No. 188, 108 Ch.In 2012-04-20 7:27 Ch.out 2012-05-04 12:00."
4736,"Repair ref.no for your car is JC51373757 opened on 2013-06-05 11:58hrs,ETD of your car is 2013-06-06 15:36hrs and est.repair amt is Rs.1249 Rgds, True Value"
4737,"Dear Guest, Thanks for choosing Pizza California. Order ID 4445. Delivery by 2011-08-30 22:45. Enjoy 25% discount on your next purchase. Code T9D9IQ. T&C."
4738,"Hi Customer, Booking ID: WW1OFKC. Seats: STANDARD-N13,N14,N15,N16,N17,N18,N19, 7 seat(s) for Pete's Dragon on 2015-03-20 7:42 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
4739,"Thank you for choosing AirportTaxi for 2010-11-24 at 23:51. Cab:KA61N8372 , Chauffer: Jeffrey, Cell: 9221554528 will reach you. T&C apply, visit www.AirportTaxi.com"
4740,"PNR:3158415447,TRAIN:7621,DOJ:2011-04-16,SL,BU-BJP,Dep:21:36, Avery,S6 46 , Fare:3860,SC:10.0+PG+INS"
4741,Appointment with Dr Andre in Tirupathi on 2015-04-22 at 7:52 is confirmed. For queries call 1800 3538 1126. Your appt. might get delayed in case the doctor is attending an emergency.
4742,Bill dated 2013-07-09 for Rs 902 has been generated for your Aircel fixedline/broadband relationship no. 78264467. The same will reach you by 2013-07-12. Due date: 2013-07-24.
4743,Appointment with Dr Travis in PAYYANUR on 2011-05-21 at 7:27 is confirmed. For queries call 1800 7817 1614. Your appt. might get delayed in case the doctor is attending an emergency.
4744,"Hi Customer, Booking ID: WTXQSWY. Seats: GOLD-C16,C17,C18,C19,C20,C21,C22,C23, 8 seat(s) for Jason Bourne on 2015-03-02 8:15 at Gopalan Grand Mall: Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
4745,"PNR:3455642371,TRAIN:1826,DOJ:2012-10-23,AC3,ATMO-BH,Dep:13:56, Johnny,B5 30 , Fare:9414,SC:10.0+PG+INS"
4746,"Hi Customer, Booking ID: WFBS5TJ. Seats: GOLD-B3,B4,B5,B6,B7,B8,B9, 7 seat(s) for Fantastic Beasts and Where to Find Them on 2011-12-11 15:56 at Cinepolis: Orion East Mall, Banaswadi. Please carry your CC/DC card which was used for booking tickets."
4747,Bill dated 2012-05-06 for Rs 430 has been generated for your Jio fixedline/broadband relationship no. 64111778. The same will reach you by 2012-05-09. Due date: 2012-05-21.
4748,"Welcome to Fluor R.No. 473, 107, 337 Ch.In 2011-12-17 12:50 Ch.out 2012-01-07 12:00."
4749,"Welcome to PLAINSCAPITAL BK R.No. 152, 150, 335 Ch.In 2010-01-11 23:16 Ch.out 2010-01-30 12:00."
4750,"Hi Customer, Booking ID: WQZ95NF. Seats: PLATINUM-B8,B9,B10,B11, 4 seat(s) for Hacksaw Ridge on 2014-04-17 2:47 at INOX: Forum Neighbourhood Mall, Whitefield. Please carry your CC/DC card which was used for booking tickets."
4751,"Welcome to Santa Ana Zoo R.No. 425, 555, 301, 481 Ch.In 2012-02-21 2:20 Ch.out 2012-03-04 12:00."
4752,"PNR:8311562621,TRAIN:3648,DOJ:2015-01-21,FC,BUA-BDI,Dep:0:35, Elias,F3 51 , Fare:7460,SC:10.0+PG+INS"
4753,"Hi Customer, Booking ID: W3NNRQS. Seats: PLATINUM-F4,F5,F6,F7,F8,F9,F10, 7 seat(s) for Doctor Strange on 2013-12-18 7:41 at Gopalan Grand Mall: Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
4754,Appointment with Dr Carson in UDUPI on 2010-11-01 at 11:57 is confirmed. For queries call 1800 1154 3766. Your appt. might get delayed in case the doctor is attending an emergency.
4755,The PNR for your INDIGO Flt 5L226 for RTC-HYD on 2011-05-01 at 19:49 hrs  is SILBW2. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4756,"Repair ref.no for your car is JC31735182 opened on 2012-06-02 4:18hrs,ETD of your car is 2012-06-03 6:52hrs and est.repair amt is Rs.796 Rgds, Maruti Auto Agency"
4757,"* KSRTC m-Ticket *  from: Vijayawada to: CHIKKAMAGALURU PsngrName: Brady TripCode: 831VijCHI PNR No.: J94612553 JnyDate: 2013-01-22 DepTime: 8:31  SeatNo.: 10, 44, 45, 46, 51, 23, 30  Class: Non-AC chair  BoardingPt: Vijayawada Residency Road Txn Password: 8584 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4758,"Repair ref.no for your car is JC33838725 opened on 2012-11-02 17:47hrs,ETD of your car is 2012-11-03 8:19hrs and est.repair amt is Rs.1881 Rgds, True Value"
4759,"Repair ref.no for your car is JC21465226 opened on 2014-02-02 13:50hrs,ETD of your car is 2014-02-03 21:46hrs and est.repair amt is Rs.706 Rgds, Sarden Auto Agency"
4760,"[thank god it is friday] Hi William, your reservation is confirmed for 3 people on 2014-08-06 at 3:33. We can hold your table for a maximum of 20 mins."
4761,"PNR:5127647342,TRAIN:75775,DOJ:2014-07-10,AC3,BALU-BPRS,Dep:5:35, Cesar,B3 22 , Fare:685,SC:10.0+PG+INS"
4762,Maruti Auto Agency : Service of your car KA82S2712 is due in 64 days on 2009-12-03. Please contact us at 9374224432 to book a service.
4763,Bill dated 2014-09-11 for Rs 827 has been generated for your Docomo fixedline/broadband relationship no. 62585847. The same will reach you by 2014-09-14. Due date: 2014-09-26.
4764,"Thank you for choosing radiocabs for 2010-11-22 at 20:21. Cab:KA88L2842 , Chauffer: Jesse, Cell: 9481278411 will reach you. T&C apply, visit www.radiocabs.com"
4765,The PNR for your INDIGO Flt 5J428 for KLH-MYQ on 2015-07-28 at 7:16 hrs  is ISOE5K. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4766,Bill dated 2010-02-03 for Rs 548 has been generated for your Airtel fixedline/broadband relationship no. 47555274. The same will reach you by 2010-02-06. Due date: 2010-02-18.
4767,"Hi Customer, Booking ID: W6RVWCZ. Seats: SILVER-N5,N6,N7,N8,N9,N10,N11,N12, 8 seat(s) for Teenage Mutant Ninja Turtles: Out of the Shadows on 2010-07-12 14:17 at PVR: Arena Mahadevapura, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4768,"Hi Customer, Booking ID: W4WJ9J3. Seats: PLATINUM-B2,B3, 2 seat(s) for The Conjuring 2 on 2015-03-17 19:49 at INOX: Central, JP Nagar, Mantri Junction. Please carry your CC/DC card which was used for booking tickets."
4769,"Welcome to Overflow National Wildlife Refuge R.No. 497, 138 Ch.In 2012-11-11 18:30 Ch.out 2012-12-03 12:00."
4770,"PNR:3684765563,TRAIN:3885,DOJ:2010-09-22,AC3,BRPL-BTH,Dep:3:48, Peter,B6 62 , Fare:5494,SC:10.0+PG+INS"
4771,"Dear Guest, Thanks for choosing The Buckhorn Exchange. Order ID 1623. Delivery by 2015-02-11 8:43. Enjoy 9% discount on your next purchase. Code ETJ8S9. T&C."
4772,"Thank you for choosing ucabs for 2014-05-03 at 3:36. Cab:KA86L6356 , Chauffer: Jake, Cell: 9533571761 will reach you. T&C apply, visit www.ucabs.com"
4773,"PNR:1186664841,TRAIN:14326,DOJ:2015-02-10,AC3,BJMD-BGPR,Dep:16:20, Leonardo,B8 66 , Fare:7632,SC:10.0+PG+INS"
4774,Bill dated 2011-12-08 for Rs 269 has been generated for your Idea fixedline/broadband relationship no. 15158165. The same will reach you by 2011-12-11. Due date: 2011-12-23.
4775,"Repair ref.no for your car is JC56421617 opened on 2010-03-18 0:57hrs,ETD of your car is 2010-03-19 13:16hrs and est.repair amt is Rs.2845 Rgds, Lakshmi Auto Agency"
4776,"Dear Guest, Thanks for choosing Tea Point. Order ID 8252. Delivery by 2011-07-09 3:30. Enjoy 6% discount on your next purchase. Code BO9JDS. T&C."
4777,Bill dated 2013-07-06 for Rs 960 has been generated for your Airtel fixedline/broadband relationship no. 85658344. The same will reach you by 2013-07-09. Due date: 2013-07-21.
4778,Bill dated 2014-06-13 for Rs 1134 has been generated for your Vodafone fixedline/broadband relationship no. 64762284. The same will reach you by 2014-06-16. Due date: 2014-06-28.
4779,"Welcome to Condo R.No. 368, 160, 269, 575 Ch.In 2010-05-19 0:48 Ch.out 2010-05-28 12:00."
4780,"Dear Guest, Thanks for choosing Dessert counter. Order ID 1123. Delivery by 2013-06-25 14:16. Enjoy 3% discount on your next purchase. Code EDS6O9. T&C."
4781,"[The Airplane Restaurant] Hi Jesus, your reservation is confirmed for 3 people on 2015-07-02 at 5:56. We can hold your table for a maximum of 15 mins."
4782,"PNR:8281754743,TRAIN:44758,DOJ:2012-03-28,AC3,ARA-BEB,Dep:8:24, Giovanni,B1 15 , Fare:3705,SC:10.0+PG+INS"
4783,"Welcome to Anthem Blue Cross and Blue Shield R.No. 378, 202 Ch.In 2013-10-22 6:45 Ch.out 2013-11-01 12:00."
4784,Bill dated 2012-08-04 for Rs 276 has been generated for your Jio fixedline/broadband relationship no. 27731423. The same will reach you by 2012-08-07. Due date: 2012-08-19.
4785,"[Hotto Motto] Hi Avery, your reservation is confirmed for 27 people on 2012-06-05 at 16:49. We can hold your table for a maximum of 17 mins."
4786,"DEAR Gabriel, THANK YOU FOR YOUR BOOKING (ORDER ID: 26774), YOUR ORDER HAS BEEN ASSIGNED TO Andre(9278738232) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2015-06-12 at 23:54. FOR ASSISTANCE WHATSAPP US ON 8224843555."
4787,"Dear Guest, Thanks for choosing moms. Order ID 4663. Delivery by 2010-03-14 5:24. Enjoy 20% discount on your next purchase. Code UZOOPJ. T&C."
4788,"Hi Customer, Booking ID: WGBBXFT. Seats: PLATINUM-M2,M3,M4,M5, 4 seat(s) for The Legend of Tarzan on 2015-08-20 9:43 at Lakshmi Digital 4K Cinema: Tavarekere. Please carry your CC/DC card which was used for booking tickets."
4789,"Welcome to Truss bridge R.No. 120, 251, 157 Ch.In 2009-12-22 7:26 Ch.out 2010-01-17 12:00."
4790,"Repair ref.no for your car is JC23521454 opened on 2012-08-30 5:49hrs,ETD of your car is 2012-08-31 22:31hrs and est.repair amt is Rs.2111 Rgds, Sarden Auto Agency"
4791,"[medival times] Hi Travis, your reservation is confirmed for 7 people on 2015-05-13 at 22:24. We can hold your table for a maximum of 24 mins."
4792,"PNR:1262864732,TRAIN:1256,DOJ:2013-03-30,FC,BGU-BDCR,Dep:4:49, Ricardo,F9 14 , Fare:3552,SC:10.0+PG+INS"
4793,"Dear Guest, Thanks for choosing Max 's Famous Hotdogs. Order ID 6845. Delivery by 2014-08-02 0:31. Enjoy 11% discount on your next purchase. Code YM174O. T&C."
4794,"Welcome to Novo Nordisk R.No. 352, 529, 510, 545 Ch.In 2013-09-11 16:31 Ch.out 2013-10-03 12:00."
4795,"PNR:3161856225,TRAIN:1166,DOJ:2010-07-31,AC3,AN-BTI,Dep:13:21, Brian,B7 21 , Fare:1596,SC:10.0+PG+INS"
4796,"Welcome to CSB R.No. 441, 458 Ch.In 2012-08-16 8:57 Ch.out 2012-09-13 12:00."
4797,"DEAR Jose, THANK YOU FOR YOUR BOOKING (ORDER ID: 76471), YOUR ORDER HAS BEEN ASSIGNED TO Tanner(9561176361) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-02-25 at 22:44. FOR ASSISTANCE WHATSAPP US ON 8133176774."
4798,"Repair ref.no for your car is JC67441341 opened on 2011-02-27 11:19hrs,ETD of your car is 2011-02-28 9:45hrs and est.repair amt is Rs.1117 Rgds, Maruti Auto Agency"
4799,Maruti Auto Agency : Service of your car KA34G8567 is due in 23 days on 2010-01-31. Please contact us at 9138178182 to book a service.
4800,The PNR for your SPICE JET Flt 6V183 for WGC-DAE on 2014-06-11 at 11:55 hrs  is LN7YUK. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4801,"Dear Guest, Thanks for choosing 2nd Avenue Deli. Order ID 4846. Delivery by 2013-02-21 17:15. Enjoy 5% discount on your next purchase. Code TRBDGV. T&C."
4802,"Repair ref.no for your car is JC16136551 opened on 2011-05-23 11:53hrs,ETD of your car is 2011-05-24 13:42hrs and est.repair amt is Rs.2294 Rgds, Maha Veer Auto Agency"
4803,Bill dated 2012-08-22 for Rs 392 has been generated for your Jio fixedline/broadband relationship no. 43386547. The same will reach you by 2012-08-25. Due date: 2012-09-06.
4804,Bill dated 2012-05-17 for Rs 182 has been generated for your Docomo fixedline/broadband relationship no. 44836257. The same will reach you by 2012-05-20. Due date: 2012-06-01.
4805,Bill dated 2009-11-27 for Rs 484 has been generated for your Idea fixedline/broadband relationship no. 54184557. The same will reach you by 2009-11-30. Due date: 2009-12-12.
4806,Bill dated 2010-10-24 for Rs 510 has been generated for your Vodafone fixedline/broadband relationship no. 57326412. The same will reach you by 2010-10-27. Due date: 2010-11-08.
4807,"[dominoz outlet] Hi Oliver, your reservation is confirmed for 28 people on 2014-01-02 at 14:45. We can hold your table for a maximum of 10 mins."
4808,"Thank you for choosing taxiforsure for 2009-08-31 at 22:35. Cab:KA42P3381 , Chauffer: Thomas, Cell: 9625113156 will reach you. T&C apply, visit www.taxiforsure.com"
4809,"[Ace Cafe] Hi Carter, your reservation is confirmed for 22 people on 2012-02-01 at 1:58. We can hold your table for a maximum of 33 mins."
4810,"PNR:5364736262,TRAIN:6556,DOJ:2013-02-19,FC,BNKR-BIRD,Dep:0:43, Miguel,F8 14 , Fare:9236,SC:10.0+PG+INS"
4811,"* KSRTC m-Ticket *  from: THIRUNALLAR to: TANJAVOOR PsngrName: Xavier TripCode: 444THITAN PNR No.: J68824474 JnyDate: 2012-12-18 DepTime: 4:44  SeatNo.: 9, 58, 46, 14, 7  Class: AC chair  BoardingPt: THIRUNALLAR MG Road Txn Password: 3381 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4812,"Welcome to FIRST BK HIGHLAND PARK R.No. 179, 500, 502, 243 Ch.In 2015-03-14 19:55 Ch.out 2015-04-03 12:00."
4813,"Thank you for choosing ucabs for 2012-12-27 at 18:49. Cab:KA68A8781 , Chauffer: Jared, Cell: 9635255686 will reach you. T&C apply, visit www.ucabs.com"
4814,"Repair ref.no for your car is JC13751667 opened on 2012-08-30 13:14hrs,ETD of your car is 2012-08-31 3:47hrs and est.repair amt is Rs.1852 Rgds, True Value"
4815,"Hi Customer, Booking ID: WDZFXH6. Seats: SILVER-B7, 1 seat(s) for Sully on 2010-07-05 9:12 at PVR: Orion, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
4816,Maha Veer Auto Agency : Service of your car KA57H2762 is due in 38 days on 2014-07-20. Please contact us at 9334854185 to book a service.
4817,"Repair ref.no for your car is JC85337872 opened on 2014-05-30 4:33hrs,ETD of your car is 2014-05-31 5:54hrs and est.repair amt is Rs.2790 Rgds, Sarden Auto Agency"
4818,The PNR for your AirAsia Flt 2A877 for GAY-JGB on 2012-10-07 at 17:23 hrs  is AR5IKE. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
